,ProvinceCode,ProvinceName,CityCode,CityName,StationCode,StationName,Longitude,Latitude
627,330000,浙江,330100,杭州,1223A,滨江,120.2072,30.2111
628,330000,浙江,330100,杭州,1224A,西溪,120.0633,30.2747
629,330000,浙江,330100,杭州,1225A,千岛湖(对照点),119.026,29.635
630,330000,浙江,330100,杭州,1226A,下沙,120.3461,30.3153
631,330000,浙江,330100,杭州,1227A,卧龙桥,120.1269,30.2456
632,330000,浙江,330100,杭州,1228A,浙江农大,120.1903,30.2692
633,330000,浙江,330100,杭州,1229A,朝晖五区,120.157,30.2897
634,330000,浙江,330100,杭州,1230A,和睦小学,120.1197,30.3119
635,330000,浙江,330100,杭州,1231A,临平镇,120.3019,30.4183
636,330000,浙江,330100,杭州,1232A,城厢镇,120.2697,30.1819
637,330000,浙江,330100,杭州,1233A,云栖,120.0883,30.1808
638,330000,浙江,330100,杭州,2010A,市政府,119.7183,30.2366
639,330000,浙江,330100,杭州,2011A,四中,119.6942,30.2311
640,330000,浙江,330100,杭州,2012A,监测站,119.954,30.054
641,330000,浙江,330100,杭州,2013A,富春二小,119.946,30.049
642,330000,浙江,330100,杭州,3557A,镇二中,119.9464,30.0494
643,330000,浙江,330100,杭州,3558A,市府大楼,119.7183,30.2367
644,330000,浙江,330100,杭州,3656A,消防大队,120.1556,30.2864
660,330000,浙江,330400,嘉兴,1252A,清河小学,120.7436,30.778
661,330000,浙江,330400,嘉兴,1253A,嘉兴学院,120.726,30.7478
662,330000,浙江,330400,嘉兴,1254A,监测站,,
663,330000,浙江,330400,嘉兴,2872A,南湖区残联,120.7846,30.7525
664,330000,浙江,330400,嘉兴,3407A,秀洲住建,120.6916,30.7739
665,330000,浙江,330500,湖州,1249A,城北水厂,120.1,30.8867
666,330000,浙江,330500,湖州,1250A,城西水厂,120.0751,30.8669
667,330000,浙江,330500,湖州,1251A,吉山新村,120.093,30.8617
668,330000,浙江,330500,湖州,2873A,仁皇山新区,120.0875,30.8955
669,330000,浙江,330500,湖州,2907A,吴兴区站,120.1844,30.8596
670,330000,浙江,330500,湖州,3562A,南浔区站,120.4148,30.8538
